date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:53:24	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:53:24%20GMT	https://totalsweet.co.uk/recipes/breakfast/blueberry-breakfast-muffins.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/breakfast/blueberry-breakfast-muffins.php	(from https://totalsweet.co.uk/recipes/)
08:53:26	86595/86595	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:53:25%20GMT	https://totalsweet.co.uk/recipes/breakfast/blueberry-breakfast-muffins	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/breakfast/blueberry-breakfast-muffins.html	(from https://totalsweet.co.uk/recipes/)
08:53:26	18903/18903	---M--	200	added ('OK')	image/jpeg	etag:%2249d7-5e1929a579f7d%22	https://totalsweet.co.uk/admin/resources/recipes/sugar-free-me-image-w240h240.jpg	/Users/justice/websites/totalsweet/totalsweet.co.uk/admin/resources/recipes/sugar-free-me-image-w240h240.jpg	(from https://totalsweet.co.uk/recipes/)
08:53:27	285/285	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:53:27%20GMT	https://totalsweet.co.uk/recipes/breakfast/yolanda-dawsons-vegan-french-toast.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/breakfast/yolanda-dawsons-vegan-french-toast.php	(from https://totalsweet.co.uk/recipes/)
08:53:29	85599/85599	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:53:28%20GMT	https://totalsweet.co.uk/recipes/breakfast/yolanda-dawsons-vegan-french-toast	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/breakfast/yolanda-dawsons-vegan-french-toast.html	(from https://totalsweet.co.uk/recipes/)
08:53:29	22615/22615	---M--	200	added ('OK')	image/jpeg	etag:%225857-5e1929a6b053a%22	https://totalsweet.co.uk/admin/resources/recipes/dscn4188-newwww-w240h240.jpg	/Users/justice/websites/totalsweet/totalsweet.co.uk/admin/resources/recipes/dscn4188-newwww-w240h240.jpg	(from https://totalsweet.co.uk/recipes/)
08:53:30	280/280	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:53:30%20GMT	https://totalsweet.co.uk/recipes/breakfast/fruit-and-yoghurt-crunch-pots.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/breakfast/fruit-and-yoghurt-crunch-pots.php	(from https://totalsweet.co.uk/recipes/)
08:53:32	87799/87799	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:53:31%20GMT	https://totalsweet.co.uk/recipes/breakfast/fruit-and-yoghurt-crunch-pots	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/breakfast/fruit-and-yoghurt-crunch-pots.html	(from https://totalsweet.co.uk/recipes/)
08:53:32	13005/13005	---M--	200	added ('OK')	image/jpeg	etag:%2232cd-5e1929fecb8b2%22	https://totalsweet.co.uk/admin/resources/recipes/dgphoto1269087-w240h240.jpg	/Users/justice/websites/totalsweet/totalsweet.co.uk/admin/resources/recipes/dgphoto1269087-w240h240.jpg	(from https://totalsweet.co.uk/recipes/)
08:53:33	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:53:33%20GMT	https://totalsweet.co.uk/recipes/breakfast/raspberry-jam.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/breakfast/raspberry-jam.php	(from https://totalsweet.co.uk/recipes/)
